Views\ConfigView.xaml:51 | Attribute | 在线 | OK (in dict)
Views\ConfigView.xaml:58 | Attribute | 在线 | OK (in dict)
Views\ConfigView.xaml:65 | Attribute | 在线 | OK (in dict)
Views\ConfigView.xaml:72 | Attribute | 在线 | OK (in dict)
Views\ConfigView.xaml:210 | Attribute | 故障 | OK (in dict)
Views\ConfigView.xaml:213 | Attribute | 离线 | OK (in dict)
Views\ConfigView.xaml:218 | Attribute | 在线 | OK (in dict)
Views\ConfigView.xaml:225 | Attribute | 在线 | OK (in dict)
Views\ConfigView.xaml:232 | Attribute | 在线 | OK (in dict)
Views\ConfigView.xaml:239 | Attribute | 在线 | OK (in dict)
Views\ConfigView.xaml:279 | Attribute | 在线 | OK (in dict)
Views\ConfigView.xaml:282 | Attribute | 故障 | OK (in dict)
Views\ConfigView.xaml:285 | Attribute | 离线 | OK (in dict)
Views\ConfigView.xaml:302 | Attribute | 在线 | OK (in dict)
Views\ConfigView.xaml:305 | Attribute | 故障 | OK (in dict)
Views\ConfigView.xaml:308 | Attribute | 离线 | OK (in dict)
Views\ConfigView.xaml:374 | Attribute | 故障 | OK (in dict)
Views\ConfigView.xaml:382 | Attribute | 故障 | OK (in dict)
Views\DashboardView.xaml:264 | Attribute | 今日 | OK (in dict)
Views\DashboardView.xaml:266 | Attribute | 本周 | OK (in dict)
Views\DashboardView.xaml:268 | Attribute | 本月 | OK (in dict)
Views\DashboardView.xaml:390 | Attribute | [次] | OK (in dict)
Views\NotificationCenterView.xaml:540 | Attribute | 报警 | OK (in dict)
Views\NotificationCenterView.xaml:545 | Attribute | 维护 | OK (in dict)
Views\NotificationCenterView.xaml:550 | Attribute | 系统 | OK (in dict)
Views\NotificationCenterView.xaml:603 | Attribute | 系统 | OK (in dict)
Views\NotificationCenterView.xaml:609 | Attribute | 维护 | OK (in dict)
Views\NotificationCenterView.xaml:615 | Attribute | 报警 | OK (in dict)
Views\UserEditDialogView.xaml:308 | Attribute | 新增用户 | OK (in dict)
Views\UserView.xaml:382 | Attribute | 在线 | OK (in dict)
Views\UserView.xaml:388 | Attribute | 离线 | OK (in dict)
Views\UserView.xaml:394 | Attribute | 禁用 | OK (in dict)

--- Missing Translation Keys ---
